NM A V RPM Eff P
0,069 3 10 4452 0 11
0,156 3,06 10,24 4452,05197777778 0,00411858481081137 11,0546666666667
0,224 3,08 10,46 4452,1064 0,0130853479975301 11,06
0,288 3,14 10,74 4452,20888888889 0,0215868027189685 11,1466666666667
0,293 3,14 10,94 4452,28395555556 0,0224790309846769 11,1973333333333
0,377 3,23 11,22 4452,29571111111 0,0231742900391921 11,2013333333333
0,419 3,25 11,44 4452,33205555556 0,0241059909314411 11,2486666666667
0,466 3,28 11,72 4452,4321 0,0326125480200222 11,3246666666667
0,467 3,34 12 4452,45407777778 0,0404601896230412 11,3946666666667
0,54 3,41 12,28 4452,49685555556 0,0476200351527054 11,474
0,549 3,43 12,52 4452,60416666667 0,0532226511618228 11,524
0,611 3,49 12,74 4452,63721111111 0,0533172123941207 11,5913333333333
0,694 3,52 12,98 4452,68733333333 0,0577494252369504 11,6393333333333
0,781 3,53 13,18 4452,7278 0,063986565952183 11,684
0,845 3,6 13,38 4452,76056666667 0,0666721534247846 11,7126666666667
0,858 3,61 13,62 4452,81462222222 0,068282227231321 11,798
0,946 3,66 13,9 4452,87466666666 0,0708876576371899 11,8146666666667
1 3,73 14,16 4452,90414444444 0,0736476896533965 11,854
1,016 3,76 14,38 4452,9573 0,0780794497058166 11,9093333333333
1,078 3,83 14,64 4452,98216666666 0,0812176441919141 11,9913333333333
1,116 3,87 14,88 4453,08643333333 0,0820246041063334 12,0813333333333
1,133 3,91 14,88 4453,16593333333 0,08702969907179 12,1746666666667
1,2 3,94 14,6 4453,17704444444 0,0945097897502174 12,2573333333333
1,281 3,98 14,36 4453,26088888889 0,0950269851763858 12,3493333333333
1,375 4,05 14,1 4453,36673333333 0,103056839459137 12,3853333333333
1,399 4,12 13,9 4453,47644444444 0,10411490637535 12,47
1,474 4,18 13,64 4453,56031111111 0,104174570494413 12,5566666666667
1,49 4,22 13,36 4453,61182222222 0,111611782080313 12,562
1,555 4,28 13,16 4453,7016 0,114790061332653 12,6466666666667
1,59 4,34 12,94 4453,76184444444 0,124615848155048 12,6826666666667
1,613 4,36 12,68 4453,85956666666 0,129038022085576 12,7573333333333
1,686 4,42 12,46 4453,87597777778 0,131462530554953 12,7706666666667
1,697 4,42 12,22 4453,94617777778 0,137085691279306 12,8273333333333
1,704 4,47 11,94 4454,01776666666 0,140032080472462 12,8446666666667
1,735 4,51 11,7 4454,06342222222 0,14632439563811 12,8893333333333
1,783 4,53 11,44 4454,10985555555 0,151214457792795 12,9666666666667
1,81 4,55 11,24 4454,13084444444 0,15785735845466 12,9713333333333
1,888 4,6 11,02 4454,23352222222 0,164611822406115 12,9933333333333
1,927 4,67 10,82 4454,3236 0,168790627875733 13,0366666666667
1,965 4,73 10,54 4454,37707777777 0,174317477845735 13,1353333333333
1,996 4,76 10,34 4454,47105555555 0,179970093807192 13,2326666666667
2,046 4,83 10,08 4454,55045555555 0,183154842338131 13,2586666666667
2,099 4,92 10,08 4454,65371111111 0,191396105187664 13,328
2,178 4,95 10,34 4454,68567777777 0,20094226294241 13,414
2,213 5,01 10,62 4454,71616666666 0,210592980892674 13,4993333333333
2,296 5,09 10,88 4454,73242222222 0,218440606602673 13,526
2,395 5,18 11,08 4454,7843 0,22257220723786 13,6173333333333
2,457 5,25 11,32 4454,87845555555 0,225149195764749 13,6613333333333
2,512 5,29 11,6 4454,91364444444 0,231459935103292 13,6766666666667
2,532 5,3 11,84 4454,94456666666 0,23619091453319 13,7633333333333
2,544 5,33 12,1 4455,03046666666 0,244622051475859 13,81
2,595 5,37 12,3 4455,10264444444 0,253923132328281 13,8966666666667
2,661 5,4 12,58 4455,19996666666 0,259784559076552 13,9213333333333
2,702 5,45 12,82 4455,25158888888 0,266152745055106 13,9706666666667
2,706 5,5 13,04 4455,32182222222 0,274591768875062 14,038
2,789 5,57 13,28 4455,34964444444 0,277389559437236 14,048
2,801 5,65 13,56 4455,45852222222 0,280522685894055 14,1253333333333
2,826 5,74 13,8 4455,56336666666 0,286325441201369 14,1493333333333
2,843 5,77 14,04 4455,59376666666 0,294145901605555 14,244
2,885 5,84 14,3 4455,63433333333 0,30116876078824 14,268
2,91 5,93 14,56 4455,69649999999 0,308972581172815 14,2813333333333
2,949 5,97 14,76 4455,79562222222 0,316348308467468 14,352
2,987 6,01 14,98 4455,87304444444 0,317867024544564 14,4206666666667
3,083 6,02 14,98 4455,98131111111 0,32207462885048 14,47
