Keine_Ahnung KekW WidePeepoHappy OmegaLUL HeheXD
0,086 153 570 8 177
0,162 153,104857142857 570,231 8,14 177,0818
0,18 153,214 570,4146 8,26 177,143
0,197 153,320285714286 570,6694 8,43 177,1664
0,268 153,433142857143 570,8008 8,59 177,1892
0,29 153,552857142857 570,9826 8,7 177,2158
0,333 153,662285714286 571,1836 8,85 177,226
0,422 153,768142857143 571,3298 8,96 177,2368
0,427 153,873714285714 571,4358 9,11 177,3222
0,435 153,982857142857 571,6674 9,28 177,415
0,502 154,102285714286 571,7764 9,42 177,4642
0,529 154,203571428571 572,0098 9,57 177,5152
0,615 154,321428571429 572,2072 9,69 177,5576
0,689 154,441428571429 572,481 9,81 177,628
0,779 154,542571428571 572,7102 9,98 177,6462
0,825 154,654857142857 572,9236 10,15 177,6608
0,905 154,760142857143 573,162 10,27 177,7166
0,96 154,868571428571 573,266 10,38 177,7924
1,043 154,981714285714 573,5026 10,54 177,8152
1,067 155,098571428571 573,765 10,66 177,8334
1,084 155,210571428571 573,9438 10,76 177,8446
1,145 155,315714285714 574,1022 10,89 177,942
1,216 155,426428571429 574,3806 11,03 178,01
1,278 155,529 574,5288 11,2 178,0928
1,314 155,648571428571 574,78 11,35 178,1778
1,344 155,756714285714 575,0746 11,51 178,264
1,413 155,873 575,2426 11,67 178,3526
1,438 155,991571428571 575,4718 11,79 178,4426
1,469 156,093571428571 575,6972 11,9 178,4542
1,503 156,209142857143 575,8348 12 178,5108
1,515 156,320714285714 575,9558 12,14 178,5866
1,543 156,438142857143 576,228 12,26 178,6604
1,567 156,543857142857 576,4644 12,41 178,6954
1,663 156,647142857143 576,6064 12,57 178,7404
1,74 156,757571428572 576,7082 12,75 178,7952
1,766 156,863285714286 576,9312 12,9 178,8492
1,825 156,967285714286 577,2208 13 178,9244
1,841 157,081285714286 577,5052 13,19 178,9872
1,887 157,202857142857 577,6924 13,34 179,055
1,891 157,311857142857 577,8086 13,52 179,0696
1,91 157,422857142857 578,0222 13,68 179,1462
1,974 157,534142857143 578,1798 13,87 179,1982
1,976 157,638 578,3492 14,04 179,2188
1,982 157,744857142857 578,5676 14,22 179,2386
2,014 157,849857142857 578,7194 14,32 179,332
2,093 157,950714285714 578,917 14,43 179,3824
2,178 158,054714285714 579,1674 14,57 179,4192
2,187 158,168142857143 579,3296 14,7 179,4364
2,252 158,275857142857 579,4302 14,84 179,4972
2,28 158,389857142857 579,6734 14,98 179,5594
2,353 158,507857142857 579,8254 14,98 179,6346
2,449 158,613142857143 580,0326 14,81 179,73
2,509 158,713714285714 580,1556 14,67 179,7954
2,593 158,823 580,4326 14,53 179,8076
2,637 158,923 580,5812 14,36 179,8588
2,734 159,027857142857 580,8364 14,22 179,9268
2,749 159,134857142857 580,9534 14,07 180,0014
2,751 159,255 581,2532 13,9 180,0416
2,836 159,356714285714 581,4736 13,77 180,0944
2,898 159,461857142857 581,6804 13,59 180,1694
2,983 159,578285714286 581,8394 13,46 180,1912
3,055 159,690857142857 582,0436 13,34 180,269
3,128 159,801 582,1572 13,24 180,3506
3,156 159,921714285714 582,362 13,07 180,4134
3,247 160,031 582,492 12,97 180,439
3,284 160,139857142857 582,7608 12,85 180,5244
3,357 160,255 583,0428 12,68 180,6056
3,397 160,355571428572 583,2842 12,54 180,7048
3,442 160,464285714286 583,5252 12,35 180,7688
3,48 160,564428571429 583,733 12,19 180,7964
3,547 160,68 583,9896 12,07 180,8786
3,589 160,793142857143 584,132 11,95 180,9572
3,621 160,909142857143 584,2836 11,81 180,9686
3,625 161,021285714286 584,4484 11,69 181,014
3,65 161,126428571429 584,5616 11,52 181,036
3,701 161,242285714286 584,6952 11,38 181,1166
3,737 161,361142857143 584,8432 11,28 181,141
3,739 161,481 585,0696 11,09 181,1838
3,818 161,598857142857 585,2702 10,93 181,254
3,889 161,701857142857 585,42 10,74 181,3142
3,972 161,816857142857 585,5736 10,62 181,409
4,015 161,931 585,6788 10,51 181,4446
4,085 162,040428571429 585,9248 10,37 181,4906
4,13 162,151142857143 586,063 10,25 181,5898
4,143 162,271285714286 586,2398 10,06 181,6534
4,186 162,387285714286 586,4138 9,96 181,7006
4,223 162,497571428572 586,5544 9,77 181,7964
4,29 162,610571428572 586,6606 9,66 181,8712
4,327 162,729857142857 586,8584 9,5 181,9406
4,363 162,831714285714 586,9756 9,38 181,9694
4,385 162,952571428572 587,2666 9,19 182,0174
4,476 163,059142857143 587,4392 9,03 182,073
