NM A V RPM Eff P
0,071 1 12 5272 0 68
0,081 1,09 12,18 5272,12003333333 0,00340358241154048 68,0166666666667
0,161 1,11 12,38 5272,23626666667 0,0100423637638066 68,0826666666667
0,237 1,19 12,5 5272,3443 0,0153338867497323 68,108
0,317 1,28 12,84 5272,46157777778 0,0227623150696803 68,1413333333333
0,361 1,32 13,06 5272,5753 0,0290039696353506 68,2266666666667
0,403 1,39 13,24 5272,67862222222 0,0387611891044123 68,3006666666667
0,48 1,42 13,46 5272,79063333333 0,0455891966566393 68,3806666666667
0,489 1,44 13,64 5272,90103333333 0,0456947038162941 68,3953333333333
0,551 1,48 14,04 5273,01447777778 0,047156052145714 68,4593333333333
0,581 1,51 14,22 5273,13595555555 0,0517608868432049 68,5573333333333
0,654 1,53 14,54 5273,24562222222 0,0548233487339799 68,6533333333333
0,692 1,59 14,96 5273,35394444444 0,0606440135280807 68,684
0,774 1,62 14,96 5273,4724 0,067476865196357 68,75
0,778 1,71 14,74 5273,57863333333 0,0773865410440539 68,784
0,783 1,79 14,42 5273,69276666667 0,0858188986432827 68,8526666666667
0,833 1,87 14 5273,80078888889 0,0938361901388672 68,9066666666667
0,854 1,93 13,58 5273,90652222222 0,0946631167571354 68,952
0,874 1,96 13,18 5274,01886666667 0,102441698248704 69,0413333333333
0,903 2,01 12,84 5274,13186666667 0,111649726755754 69,0946666666667
0,966 2,06 12,66 5274,2384 0,115480520499628 69,148
1,006 2,13 12,26 5274,34265555556 0,124166517888273 69,2266666666667
1,046 2,18 11,98 5274,46091111111 0,13032738353141 69,2386666666667
1,127 2,26 11,54 5274,58204444444 0,131040290645808 69,3146666666667
1,176 2,31 11,44 5274,69703333333 0,134497038835891 69,3573333333333
1,177 2,4 11 5274,80473333333 0,141724748821801 69,398
1,206 2,49 10,8 5274,91192222222 0,150300215976453 69,438
1,268 2,5 10,56 5275,012 0,151846420435163 69,476
1,31 2,55 10,12 5275,12566666667 0,159549908661074 69,4973333333333
1,369 2,62 10,12 5275,23591111111 0,167524263713287 69,5866666666666
1,413 2,69 10,38 5275,34492222222 0,169297197605156 69,6813333333333
1,5 2,7 10,76 5275,44752222222 0,174603605621776 69,7533333333333
1,574 2,75 11,22 5275,5599 0,177904242932752 69,768
1,609 2,8 11,44 5275,67611111111 0,180424229889374 69,8566666666667
1,659 2,84 11,6 5275,79297777778 0,187923221056314 69,8693333333333
1,754 2,92 11,74 5275,90163333333 0,196710565940808 69,8906666666666
1,846 2,94 12,16 5276,0113 0,197977264522564 69,9093333333333
1,902 2,97 12,62 5276,11493333333 0,206652372920258 69,944
1,922 2,98 12,86 5276,22233333333 0,207706116641735 69,9813333333333
1,976 3,05 13,14 5276,33402222222 0,21669393057781 70,0613333333333
2,055 3,07 13,36 5276,44974444444 0,218305662222349 70,134
2,112 3,11 13,7 5276,56747777778 0,224578976791622 70,154
2,133 3,2 13,94 5276,67284444444 0,226188650483353 70,2486666666666
2,226 3,24 14,24 5276,7922 0,231761236489639 70,322
2,293 3,3 14,62 5276,91038888889 0,240205081263653 70,3466666666666
2,358 3,34 14,84 5277,01176666666 0,246585116184589 70,3573333333333
2,437 3,42 14,98 5277,11703333333 0,25249038612586 70,4126666666666
2,503 3,46 14,98 5277,22242222222 0,253691526247976 70,4386666666666
2,596 3,49 14,66 5277,33413333333 0,25956254652681 70,4986666666666
2,62 3,58 14,34 5277,44733333333 0,259857851294735 70,5566666666666
2,717 3,65 14,04 5277,55731111111 0,261256934060369 70,5866666666666
2,796 3,67 13,84 5277,66524444444 0,265723681960126 70,6233333333333
2,876 3,74 13,44 5277,76573333333 0,267765848994146 70,6466666666666
2,905 3,78 13,14 5277,87772222222 0,276579609125191 70,7053333333333
2,965 3,8 12,72 5277,99462222222 0,284742843375887 70,7793333333333
3,009 3,82 12,3 5278,10807777778 0,287356615149116 70,864
3,108 3,84 12,1 5278,21225555555 0,291800431498233 70,9606666666666
3,198 3,9 11,66 5278,31791111111 0,299050750205783 71,05
3,278 3,93 11,28 5278,42694444444 0,302011224623775 71,1133333333333
3,281 3,97 10,84 5278,54855555555 0,310416885069766 71,124
3,321 3,98 10,62 5278,66123333333 0,319499800116522 71,1559999999999
3,367 4 10,36 5278,7816 0,319766301419477 71,2546666666666
3,455 4,01 10,36 5278,89344444444 0,326137253197905 71,2913333333333
3,523 4,05 10,62 5279,01413333333 0,335716505938078 71,3546666666666
3,621 4,06 11,08 5279,11941111111 0,341419097120603 71,4386666666666
3,717 4,07 11,32 5279,22507777778 0,349225060543616 71,4846666666666
3,78 4,1 11,68 5279,33864444444 0,357085618920199 71,542
3,824 4,18 11,84 5279,45498888889 0,362254931131497 71,5686666666666
3,884 4,23 12,24 5279,56768888889 0,365138459333749 71,622
3,944 4,28 12,36 5279,68416666667 0,37094871921509 71,7093333333333
3,978 4,31 12,7 5279,79783333333 0,380495706550077 71,7193333333333
4,038 4,37 12,92 5279,91081111111 0,38948466074629 71,7566666666666
4,101 4,38 13,24 5280,0303 0,394353157903232 71,7726666666666
4,14 4,41 13,54 5280,14626666666 0,400703246128142 71,7886666666666
4,142 4,45 13,92 5280,26605555555 0,407237968387659 71,826
4,174 4,54 14,32 5280,38395555555 0,409932371452419 71,8853333333333
4,264 4,62 14,78 5280,48824444444 0,411195942028983 71,9746666666666
4,349 4,63 14,78 5280,59921111111 0,420612861374679 72,0033333333333
4,44 4,7 14,3 5280,69936666667 0,424076039122453 72,0426666666666
4,474 4,76 13,98 5280,81175555555 0,429970225309939 72,1033333333333
4,5 4,83 13,5 5280,91231111111 0,432532791654828 72,1133333333333
4,555 4,91 13,08 5281,01258888889 0,442275258140767 72,182
4,569 4,93 12,94 5281,12686666667 0,450898639173665 72,2473333333333
4,615 4,98 12,68 5281,23841111111 0,460618729624254 72,3406666666666
4,646 5,01 12,38 5281,34782222222 0,465275549481286 72,4086666666666
4,741 5,05 12,2 5281,45597777778 0,474521880380121 72,4553333333333
4,831 5,13 11,8 5281,56924444444 0,483918764527849 72,4753333333333
4,872 5,22 11,4 5281,67661111111 0,492588518612361 72,498
4,891 5,29 11 5281,79836666667 0,493520041263439 72,5126666666666
4,902 5,36 10,62 5281,89951111111 0,500625602933869 72,6066666666666
4,947 5,38 10,38 5282,003 0,501162497988512 72,6726666666666
4,988 5,45 10,18 5282,11898888889 0,508573050353943 72,6853333333333
5,073 5,53 10,18 5282,22634444444 0,509666418367841 72,7006666666666
5,09 5,62 10,46 5282,33527777778 0,511912197541405 72,7793333333333
5,178 5,71 10,66 5282,43932222222 0,514426804298734 72,8046666666666
5,244 5,79 10,8 5282,55767777778 0,515798236353229 72,8873333333333
5,319 5,82 11,24 5282,66036666667 0,524929498310634 72,9053333333333
5,405 5,87 11,72 5282,77655555556 0,526179791966537 72,9353333333333
5,451 5,95 12,06 5282,89166666667 0,534910228087059 73,0106666666666
5,499 5,96 12,52 5283,00477777778 0,537616108538404 73,0266666666666
5,536 5,99 12,82 5283,10703333333 0,538204460958114 73,1166666666666
5,627 6 13,2 5283,22443333333 0,543932727646983 73,2033333333333
5,648 6,01 13,32 5283,33242222222 0,549288412439305 73,28
5,729 6,03 13,76 5283,43301111111 0,55646182743202 73,332
5,782 6,12 14,24 5283,54174444444 0,559901547799772 73,3486666666666
5,872 6,14 14,72 5283,65903333333 0,567350649576332 73,4193333333333
5,929 6,21 14,98 5283,76047777778 0,575533957795954 73,438
5,978 6,28 14,98 5283,87788888889 0,580196397584023 73,5213333333333
6,043 6,3 14,68 5283,98145555555 0,587972603076125 73,5413333333333
6,064 6,34 14,38 5284,08266666667 0,593627793539142 73,558
6,155 6,39 14,02 5284,19713333333 0,602423055811051 73,604
